bufferLog 
link index, time(s), buffer occupancy
0,0,1
1,0,0
0,1,1
1,1,1
0,2,0
1,2,1
0,2,0
1,2,1
0,3,1
1,3,1
0,4,0
1,4,1
0,4,0
1,4,0
0,100,1
1,100,0
0,101,0
1,101,1
0,102,0
1,102,1
0,103,1
1,103,0
0,104,1
1,104,0
0,105,0
1,105,1
0,106,0
1,106,1
0,107,1
1,107,0
0,108,1
1,108,0
0,109,0
1,109,1
0,110,0
1,110,1
0,111,1
1,111,0
0,112,1
1,112,0
0,113,0
1,113,1
0,114,0
1,114,1
0,115,1
1,115,0
0,116,1
1,116,0
0,117,0
1,117,1
0,118,0
1,118,1
0,119,1
1,119,0
0,120,1
1,120,0
0,121,0
1,121,1
0,123,0
1,123,1
0,124,1
1,124,0
0,125,0
1,125,0
0,138,1
1,138,0
0,139,2
1,139,0
0,139,1
1,139,1
0,140,2
1,140,1
0,140,1
1,140,2
0,140,1
1,140,2
0,141,2
1,141,2
0,141,1
1,141,3
0,141,1
1,141,3
0,142,2
1,142,2
0,142,1
1,142,3
0,143,1
1,143,3
0,143,0
1,143,3
0,144,1
1,144,2
0,145,2
1,145,2
0,145,1
1,145,2
0,145,1
1,145,2
0,146,0
1,146,3
0,146,1
1,146,2
0,147,0
1,147,2
0,147,1
1,147,1
0,148,0
1,148,1
0,148,0
1,148,1
0,149,1
1,149,0
0,150,1
1,150,0
0,151,0
1,151,1
0,152,0
1,152,1
0,153,1
1,153,0
0,154,1
1,154,0
0,155,0
1,155,1
0,157,0
1,157,1
0,158,1
1,158,0
0,159,1
1,159,0
0,160,0
1,160,1
0,161,0
1,161,1
0,162,1
1,162,0
0,163,1
1,163,0
0,164,0
1,164,1
0,165,0
1,165,1
0,166,1
1,166,0
0,167,1
1,167,0
0,168,0
1,168,1
0,169,0
1,169,1
0,170,1
1,170,0
0,171,1
1,171,0
0,172,0
1,172,1
0,173,0
1,173,1
0,174,1
1,174,0
0,175,1
1,175,0
0,176,0
1,176,1
0,177,0
1,177,1
0,178,1
1,178,0
0,179,1
1,179,0
0,180,0
1,180,1
0,181,0
1,181,1
0,182,1
1,182,0
0,183,1
1,183,0
0,184,0
1,184,1
0,185,0
1,185,1
0,186,1
1,186,0
0,187,1
1,187,0
0,189,0
1,189,1
0,190,0
1,190,1
0,191,1
1,191,0
0,192,1
1,192,0
0,193,0
1,193,1
0,194,0
1,194,1
0,195,1
1,195,0
0,196,1
1,196,0
0,197,0
1,197,1
0,198,0
1,198,1
0,199,1
1,199,0
0,200,1
1,200,0
0,201,0
1,201,1
0,202,0
1,202,1
0,203,1
1,203,0
0,204,1
1,204,0
0,206,0
1,206,1
0,207,0
1,207,1
0,208,1
1,208,0
0,209,1
1,209,0
0,210,0
1,210,1
0,211,0
1,211,1
0,212,1
1,212,0
0,213,1
1,213,0
0,214,0
1,214,1
0,215,0
1,215,1
0,216,1
1,216,0
0,217,1
1,217,0
0,219,0
1,219,1
0,220,0
1,220,1
0,221,1
1,221,0
0,222,1
1,222,0
0,223,0
1,223,1
0,224,0
1,224,1
0,225,1
1,225,0
0,226,1
1,226,0
0,227,0
1,227,1
0,229,0
1,229,1
0,230,1
1,230,0
0,231,1
1,231,0
0,232,0
1,232,1
0,233,0
1,233,1
0,234,1
1,234,0
0,235,1
1,235,0
0,236,0
1,236,1
0,236,1
1,236,1
0,237,2
1,237,1
0,237,2
1,237,1
0,237,1
1,237,2
0,238,2
1,238,2
0,238,3
1,238,1
0,238,2
1,238,2
0,239,2
1,239,2
0,239,1
1,239,3
0,240,2
1,240,3
0,240,2
1,240,3
0,240,1
1,240,3
0,241,2
1,241,2
0,241,1
1,241,3
0,242,1
1,242,3
0,242,0
1,242,3
0,243,1
1,243,2
0,244,2
1,244,2
0,244,1
1,244,2
0,244,1
1,244,2
0,245,0
1,245,3
0,245,1
1,245,2
0,246,0
1,246,2
0,246,1
1,246,1
0,247,0
1,247,1
0,247,0
1,247,1
0,248,1
1,248,0
0,249,1
1,249,0
0,250,0
1,250,1
0,251,0
1,251,1
0,252,1
1,252,0
0,253,1
1,253,0
0,254,0
1,254,1
0,255,0
1,255,1
0,256,1
1,256,0
0,257,1
1,257,0
0,257,2
1,257,0
0,258,1
1,258,1
0,259,1
1,259,1
0,259,0
1,259,2
0,260,1
1,260,1
0,261,2
1,261,1
0,261,1
1,261,1
0,261,1
1,261,1
0,262,0
1,262,2
0,262,1
1,262,1
0,263,0
1,263,1
0,263,0
1,263,1
0,264,1
1,264,0
0,265,0
1,265,0
