cwndLog 
flow index, time(s) , cwnd
0,0,1
0,1,1
0,2,1
0,2,1
0,3,1
0,4,1
0,4,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,2
0,15,2
0,16,2
0,17,2
0,18,4
0,19,4
0,20,4
0,21,4
0,22,8
0,23,8
0,24,8
0,25,8
0,26,16
0,27,16
0,28,16
0,29,16
0,30,32
0,31,32
0,33,32
0,34,32
0,35,64
0,48,1
0,49,1
0,49,1
0,50,1
0,50,1
0,50,1
0,51,1
0,51,1
0,51,1
0,52,1
0,52,1
0,53,1
0,53,1
0,54,1
0,55,1
0,55,1
0,55,1
0,56,1
0,56,1
0,57,1
0,57,1
0,58,1
0,58,1
0,59,1
0,60,2
0,61,2
0,62,2
0,63,2
0,64,4
0,65,4
0,67,4
0,68,4
0,69,8
0,70,8
0,71,8
0,72,8
0,73,16
0,74,16
0,75,16
0,76,16
0,77,32
0,78,32
0,80,32
0,81,32
0,82,33
0,83,33
0,84,33
0,85,33
0,86,34
0,88,34
0,89,34
0,90,34
0,91,35
0,92,35
0,94,35
0,95,35
0,96,36
0,97,36
0,98,36
0,99,36
0,100,36
0,102,36
0,103,36
0,104,36
0,105,0
0,105,1
0,105,1
0,106,1
0,106,1
0,107,1
0,107,1
0,107,1
0,108,1
0,108,1
0,109,1
0,109,1
0,110,1
0,110,1
0,110,1
0,111,1
0,111,1
0,112,1
0,112,1
0,113,1
0,113,1
0,114,1
0,114,1
0,115,1
0,115,1
0,116,1
0,116,1
0,117,1
0,117,1
0,118,1
0,118,1
0,119,1
0,120,1
0,120,1
0,121,1
