cwndLog 
flow index, time(s) , cwnd
0,1000,1
0,1001,1
0,1002,2
0,1003,2
0,1004,4
0,1005,4
0,1006,8
0,1007,8
0,1008,16
0,1009,16
0,1010,32
0,1011,32
0,1012,64
0,1020,1
0,1021,1
0,1022,1
0,1022,1
0,1023,1
0,1024,2
0,1025,2
0,1026,4
0,1027,4
0,1028,8
0,1029,8
0,1030,16
0,1031,16
0,1032,32
0,1033,32
0,1034,33
0,1036,33
0,1037,34
0,1038,34
0,1039,35
0,1040,35
0,1041,36
0,1043,36
0,1044,37
0,1045,37
0,1046,38
0,1047,38
0,1048,39
0,1050,39
0,1051,40
0,1052,40
0,1053,41
0,1055,41
0,1056,42
0,1057,42
0,1058,43
0,1060,43
0,1061,44
0,1062,44
0,1063,45
0,1064,45
0,1065,46
0,1067,46
0,1068,47
0,1069,47
0,1070,48
0,1072,48
0,1073,49
0,1074,49
0,1075,50
0,1077,50
0,1078,51
0,1079,51
0,1080,52
0,1082,52
0,1083,53
0,1084,53
0,1085,54
0,1087,54
0,1088,55
0,1089,55
0,1090,56
0,1092,56
0,1093,57
0,1095,57
0,1096,58
0,1097,58
0,1098,59
0,1100,59
0,1101,60
0,1102,60
0,1103,61
0,1105,61
0,1106,62
0,1108,62
0,1109,63
0,1110,63
0,1111,64
0,1116,1
0,1117,1
0,1117,1
0,1118,1
0,1119,1
0,1120,2
0,1121,2
0,1122,4
0,1123,4
0,1124,8
0,1125,8
0,1126,16
0,1127,16
0,1128,32
0,1129,32
0,1130,33
0,1131,33
0,1132,34
0,1134,34
0,1135,35
0,1136,35
0,1137,36
0,1139,36
0,1140,37
0,1141,37
0,1142,38
0,1143,38
0,1144,39
0,1146,39
0,1147,40
0,1148,40
0,1149,41
0,1150,41
0,1151,42
0,1153,42
0,1154,43
0,1155,43
0,1156,44
0,1158,44
0,1159,45
0,1160,45
0,1161,46
0,1163,46
0,1164,47
0,1165,47
0,1166,48
0,1168,48
0,1169,49
0,1170,49
0,1171,50
0,1173,50
0,1174,51
0,1175,51
0,1176,52
0,1178,52
0,1179,53
0,1180,53
0,1181,54
0,1183,54
0,1184,55
0,1185,55
0,1186,56
0,1188,56
0,1189,57
0,1190,57
0,1191,58
0,1193,58
0,1194,59
0,1196,59
0,1197,60
0,1198,60
0,1199,61
0,1201,61
0,1202,62
0,1203,62
0,1204,63
0,1206,63
0,1207,64
0,1211,1
0,1212,1
0,1212,1
0,1213,1
0,1214,1
0,1215,2
0,1216,2
0,1217,4
0,1218,4
0,1219,8
0,1220,8
0,1221,16
0,1223,16
0,1224,32
0,1225,32
0,1226,33
0,1227,33
0,1228,34
0,1230,34
0,1231,35
0,1232,35
0,1233,36
0,1234,36
0,1235,37
0,1237,37
0,1238,38
0,1239,38
0,1240,39
0,1241,39
0,1242,40
0,1244,40
0,1245,41
0,1246,41
0,1247,42
0,1249,42
0,1250,43
0,1251,43
0,1252,44
0,1254,44
0,1255,45
0,1256,45
0,1257,46
0,1258,46
0,1259,47
0,1261,47
0,1262,48
0,1263,48
0,1264,49
0,1266,49
0,1267,50
0,1268,50
0,1269,51
0,1271,51
0,1272,52
0,1273,52
0,1274,53
0,1276,53
0,1277,54
0,1279,54
0,1280,55
0,1281,55
0,1282,56
0,1284,56
0,1285,57
0,1286,57
0,1287,58
0,1289,58
0,1290,59
0,1291,59
0,1292,60
0,1294,60
0,1295,61
0,1297,61
0,1298,62
0,1299,62
0,1300,63
0,1302,63
0,1303,64
0,1307,1
0,1308,1
0,1308,1
0,1309,1
0,1310,1
0,1311,2
0,1312,2
0,1313,4
0,1314,4
0,1315,8
0,1316,8
0,1317,16
0,1318,16
0,1319,32
0,1321,32
0,1322,33
0,1323,33
0,1324,34
0,1325,34
0,1326,35
0,1328,35
0,1329,36
0,1330,36
0,1331,37
0,1333,37
0,1334,38
0,1335,38
0,1336,39
0,1337,39
0,1338,40
0,1340,40
0,1341,41
0,1342,41
0,1343,42
0,1345,42
0,1346,43
0,1347,43
0,1348,44
0,1349,44
0,1350,45
0,1352,45
0,1353,46
0,1354,46
0,1355,47
0,1357,47
0,1358,48
0,1359,48
0,1360,49
0,1362,49
0,1363,50
0,1364,50
0,1365,51
0,1367,51
0,1368,52
0,1369,52
0,1370,53
0,1372,53
0,1373,54
0,1374,54
